web_scraper_order,web_scraper_start_url,price,adress,type_shoes,img
"1765197753-1","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905406"
"1765197753-2","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905401"
"1765197753-3","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905399"
"1765197753-4","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905397"
"1765197753-5","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905394"
"1765197753-6","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905388"
"1765197753-7","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905385"
"1765197753-8","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures  enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905383"
"1765197753-9","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905378"
"1765197753-10","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905376"
"1765197753-11","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905373"
"1765197753-12","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905369"
"1765197753-13","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905367"
"1765197753-14","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905365"
"1765197753-15","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905363"
"1765197753-16","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-enfant-905360"
"1765197753-17","https://sn.coinafrique.com/categorie/chaussures-enfants?page=8","Prix sur demande","Dakar, Sénégal","Chaussures pour enfant","https://sn.coinafrique.com/annonce/chaussures-enfants/chaussures-pour-enfant-905353"
