web_scraper_order,web_scraper_start_url,type_vetements,price,adress,limg_link
"1765181711-1","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Grenouillère - Ensemble Femme","Prix sur demande","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/grenouillere-ensemble-femme-740349"
"1765181711-2","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Robe pour enfant","35 000CFA","Dieuppeul-Derklé, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/robe-pour-enfant-739801"
"1765181711-3","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Couches et vêtements enfants","8 000CFA","Ngor, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/couches-et-vetements-enfants-735868"
"1765181711-4","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Costume enfant","20 000CFA","Médina, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/costume-enfant-735207"
"1765181711-5","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant 2 ans - 5 ans","18 000CFA","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-2-ans-5-ans-727626"
"1765181711-6","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Abaya enfant Spéciale Tabaski","Prix sur demande","Les Parcelles Assainies, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/abaya-enfant-speciale-tabaski-725848"
"1765181711-7","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724146"
"1765181711-8","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724143"
"1765181711-9","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724138"
"1765181711-10","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724135"
"1765181711-11","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724130"
"1765181711-12","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724128"
"1765181711-13","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724122"
"1765181711-14","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724115"
"1765181711-15","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-enfant-724113"
"1765181711-16","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724109"
"1765181711-17","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724102"
"1765181711-18","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724091"
"1765181711-19","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenue pour enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenue-pour-enfant-724081"
"1765181711-20","https://sn.coinafrique.com/categorie/vetements-enfants?page=22","Tenues enfant","10 000CFA","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-enfants/tenues-enfant-724072"
