web_scraper_order,web_scraper_start_url,price,type_habits,adress,img
"1765132328-1","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacostes","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacostes-2194396"
"1765132328-2","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacostes","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacostes-2194391"
"1765132328-3","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacostes","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacostes-2194385"
"1765132328-4","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Polo Lacoste","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/polo-lacoste-2194382"
"1765132328-5","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacostes","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacostes-2194377"
"1765132328-6","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacoste","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-2194368"
"1765132328-7","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Pantalon homme","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-homme-2194269"
"1765132328-8","https://sn.coinafrique.com/categorie/vetements-homme?page=119","5 000CFA","Tee-shirts","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirts-2193874"
"1765132328-9","https://sn.coinafrique.com/categorie/vetements-homme?page=119","12 000CFA","Ensemble homme","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2193841"
"1765132328-10","https://sn.coinafrique.com/categorie/vetements-homme?page=119","12 000CFA","Pantalon et t-shirt","Guediawaye, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-et-t-shirt-2192716"
"1765132328-11","https://sn.coinafrique.com/categorie/vetements-homme?page=119","25 000CFA","Ensemble blouson","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-blouson-2192607"
"1765132328-12","https://sn.coinafrique.com/categorie/vetements-homme?page=119","25 000CFA","Ensemble homme","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2192595"
"1765132328-13","https://sn.coinafrique.com/categorie/vetements-homme?page=119","10 000CFA","Lacoste","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/lacoste-2192589"
"1765132328-14","https://sn.coinafrique.com/categorie/vetements-homme?page=119","12 000CFA","Ensemble t-shirt + culotte","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-t-shirt-culotte-2190286"
"1765132328-15","https://sn.coinafrique.com/categorie/vetements-homme?page=119","13 500CFA","Ensemble homme","Rufisque, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2190282"
"1765132328-16","https://sn.coinafrique.com/categorie/vetements-homme?page=119","3 000CFA","Tee-shirt unique","Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/tee-shirt-unique-2190205"
"1765132328-17","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2189970"
"1765132328-18","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Prix sur demande","Ensemble homme","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2189968"
"1765132328-19","https://sn.coinafrique.com/categorie/vetements-homme?page=119","Prix sur demande","Ensemble Homme","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/ensemble-homme-2189966"
"1765132328-20","https://sn.coinafrique.com/categorie/vetements-homme?page=119","6 500CFA","Pantalon Kaki","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2189902"
"1765132328-21","https://sn.coinafrique.com/categorie/vetements-homme?page=119","6 500CFA","Pantalon kaki","Dakar Plateau, Dakar, Sénégal","https://sn.coinafrique.com/annonce/vetements-homme/pantalon-kaki-2189898"
